Ano;País de Destino;Categoria de Carne;Faturamento (US$);Volume (Kg)
2024;Japão;Outras Carnes e Miudezas;230514;254135
2024;Irã;Carne de Aves;230505;127470
2024;Libéria;Carne de Aves;229979;337296
2024;São Cristóvão e Névis;Carne de Aves;229500;147525
2024;Mayotte;Carne de Aves;228671;134431
2024;Romênia;Carne de Aves;225338;375885
2024;Bahamas;Carne de Aves;224986;147600
2024;Cabo Verde;Carne de Aves;224614;206020
2024;Argentina;Carne de Aves;224047;41880
2024;Camboja;Carne de Aves;216043;163794
2024;Benin;Carne de Aves;213614;179666
2024;Cuba;Carne de Aves;213547;177440
2024;Coreia do Sul;Carne de Aves;212559;255600
2024;Moçambique;Carne de Aves;209264;135465
2024;Chile;Carne de Aves;206738;60759
2024;Singapura;Carne Suína;206536;137283
2024;África do Sul;Carne de Aves;205236;109980
2024;Vanuatu;Carne de Aves;199601;124974
2024;Dominica;Carne de Aves;197257;107389
2024;Sudão;Carne de Aves;196606;119232
2024;Vietnã;Carne Suína;193407;85959
2024;Gabão;Carne de Aves;190777;197714
2024;Líbia;Carne de Aves;188311;81000
2024;Arábia Saudita;Carne de Aves;188168;159260
2024;Singapura;Outras Carnes e Miudezas;188132;131557
2024;Singapura;Carne de Aves;187137;258740
2024;Gabão;Outras Carnes e Miudezas;184674;267289
2024;Áustria;Carne de Aves;184389;73530
2024;Singapura;Carne de Aves;181511;53464
2024;Japão;Carne de Aves;178577;156540
2024;Singapura;Carne de Aves;178175;234650
2024;Geórgia;Carne de Aves;176608;153195
2024;Tanzânia;Carne de Aves;175967;108680
2024;Uruguai;Carne Bovina;175912;15170
2024;Emirados Árabes Unidos;Carne de Aves;174508;84525
2024;Angola;Carne de Aves;174336;140352
2024;Iraque;Carne de Aves;173925;92670
2024;Peru;Carne de Aves;171979;356875
2024;Emirados Árabes Unidos;Carne de Aves;171079;42811
2024;Omã;Carne de Aves;170085;97248
2024;Catar;Carne de Aves;169736;54090
2024;Nova Caledônia;Carne de Aves;168909;20918
2024;Somália;Carne de Aves;166992;55608
2024;Aruba;Carne de Aves;166045;97850
2024;Polinésia Francesa;Carne de Aves;165721;134700
2024;Samoa;Carne de Aves;165277;95340
2024;Hong Kong;Carne de Aves;163319;59914
2024;Guam;Carne Suína;162918;77049
2024;Curaçao;Carne de Aves;157006;82584
2024;Alemanha;Carne de Aves;156278;50016
2024;Rússia;Carne de Aves;155159;49680
2024;Moçambique;Carne Suína;154781;77588
2024;Namíbia;Carne de Aves;154779;135000
2024;Montenegro;Carne de Aves;153426;52008
2024;Sudão do Sul;Carne de Aves;147521;86621
2024;Montenegro;Carne de Aves;145941;80748
2024;Emirados Árabes Unidos;Outras Carnes e Miudezas;144645;195000
2024;Chade;Carne de Aves;143789;89400
2024;Curaçao;Carne de Aves;143565;91420
2024;Granada;Carne de Aves;143452;143310
2024;Cuba;Carne de Aves;143443;43506
2024;Gana;Carne de Aves;142963;93080
2024;Gana;Carne de Aves;142901;81000
2024;Laos;Carne de Aves;141932;180975
2024;Cabo Verde;Outras Carnes e Miudezas;140922;222400
2024;Bonaire, Saint Eustatius e Saba;Carne de Aves;140117;117480
2024;Timor Leste;Carne de Aves;138014;50220
2024;Vanuatu;Carne de Aves;137640;76332
2024;Paraguai;Outras Carnes e Miudezas;133614;16222
2024;Namíbia;Carne de Aves;131623;627864
2024;Comores;Carne de Aves;130735;71016
2024;Benin;Carne de Aves;129938;121080
2024;Curaçao;Carne Suína;128213;52301
2024;Gâmbia;Carne de Aves;127660;56292
2024;Iraque;Carne de Aves;125523;54000
2024;Virgens, Ilhas (Britânicas);Carne de Aves;124112;64515
2024;Emirados Árabes Unidos;Carne de Aves;123746;109128
2024;Marianas do Norte, Ilhas;Carne Suína;122418;52485
2024;Tanzânia;Carne de Aves;121958;103770
2024;Granada;Carne Suína;121581;44184
2024;Chile;Carne de Aves;120825;53048
2024;Irã;Carne de Aves;120620;54000
2024;Bahamas;Carne de Aves;120326;41598
2024;Congo, República Democrática;Carne de Aves;119217;108180
2024;Colômbia;Carne Suína;118094;53959
2024;Hong Kong;Carne de Aves;117992;73986
2024;Países Baixos (Holanda);Carne de Aves;117882;73318
2024;Maurício;Carne de Aves;117578;25705
2024;Catar;Carne de Aves;117189;56010
2024;Maurício;Carne de Aves;117106;13866
2024;Serra Leoa;Carne de Aves;115224;111240
2024;Singapura;Carne de Aves;115094;29357
2024;Albânia;Carne de Aves;114905;72193
2024;Uruguai;Outras Carnes e Miudezas;114548;161000
2024;Vanuatu;Carne de Aves;113994;66596
2024;Canadá;Carne de Aves;111777;136950
2024;Vietnã;Outras Carnes e Miudezas;111263;54000
2024;Malásia;Carne Suína;109973;47589
2024;Togo;Carne de Aves;108928;101740
2024;Gabão;Carne de Aves;108572;40950
2024;Gabão;Carne de Aves;106120;69493
2024;Suriname;Carne de Aves;104614;55620
2024;República Dominicana;Carne de Aves;104562;54000
2024;Congo, República Democrática;Carne de Aves;100509;37500
2024;Seicheles;Carne Suína;99543;48252
2024;Hong Kong;Carne de Aves;98049;85570
2024;Países Baixos (Holanda);Carne de Aves;97900;78030
2024;Gana;Outras Carnes e Miudezas;96849;139000
2024;República Centro-Africana;Carne de Aves;96547;58877
2024;Granada;Carne de Aves;95548;33816
2024;Arábia Saudita;Carne de Aves;94400;77229
2024;Filipinas;Carne de Aves;92762;55050
2024;Lituânia;Carne Bovina;92615;26321
2024;Zimbábue;Carne de Aves;92196;278000
2024;Singapura;Carne de Aves;91556;49702
2024;Bonaire, Saint Eustatius e Saba;Carne Suína;90283;40766
2024;Angola;Carne de Aves;89775;52212
2024;Espanha;Carne de Aves;89295;58890
2024;Cuba;Carne de Aves;89094;24000
2024;Guiné;Carne Bovina;89075;22943
2024;Virgens, Ilhas (Britânicas);Carne Suína;88498;30500
2024;Jordânia;Carne de Aves;87507;26968
2024;Tunísia;Carne de Aves;87305;52920
2024;Anguilla;Carne de Aves;86393;46671
2024;Tanzânia;Carne de Aves;86266;82310
2024;Benin;Carne de Aves;85769;93236
2024;Azerbaijão;Carne Suína;83949;49999
2024;São Vicente e Granadinas;Carne de Aves;81820;50040
2024;México;Carne de Aves;80531;35646
2024;Cuba;Carne de Aves;80266;76800
2024;Coreia do Sul;Carne de Aves;80232;70560
2024;Cabo Verde;Carne de Aves;80225;27804
2024;Antígua e Barbuda;Carne de Aves;79944;29110
2024;Guiné;Carne de Aves;77569;49626
2024;Curaçao;Carne de Aves;77447;27795
2024;Congo, República Democrática;Carne de Aves;76680;55020
2024;Mayotte;Carne de Aves;76166;27300
2024;Sint Maarten;Carne Suína;74753;30268
2024;Antígua e Barbuda;Carne de Aves;74254;50790
2024;Angola;Carne de Aves;72720;165463
2024;Turquia;Carne de Aves;71463;39874
2024;Virgens, Ilhas (Britânicas);Carne de Aves;70807;33452
2024;Laos;Outras Carnes e Miudezas;70342;82000
2024;República Centro-Africana;Carne de Aves;70055;54000
2024;Bermudas;Carne Suína;69483;21090
2024;Malásia;Carne de Aves;69265;56000
2024;Benin;Carne de Aves;68948;55670
2024;São Tomé e Príncipe;Carne de Aves;68399;72550
2024;Coreia do Sul;Carne Suína;66802;29314
2024;Sint Maarten;Carne de Aves;65029;37545
2024;Filipinas;Outras Carnes e Miudezas;64996;53340
2024;Tonga;Carne de Aves;64712;54050
2024;Omã;Carne de Aves;64649;19993
2024;Líbia;Carne de Aves;63510;21987
2024;Gana;Carne de Aves;62438;27000
2024;Singapura;Carne de Aves;61970;27021
2024;Haiti;Carne de Aves;61407;139050
2024;Guiné-Bissau;Carne de Aves;61293;54220
2024;Cabo Verde;Carne de Aves;60756;38192
2024;Bélgica;Carne de Aves;60510;26004
2024;Hong Kong;Carne de Aves;60433;50643
2024;Coveite (Kuweit);Carne de Aves;60280;27000
2024;Estados Unidos;Carne de Aves;59633;27000
2024;Togo;Carne de Aves;59353;36806
2024;Guiné;Carne de Aves;58758;38570
2024;São Cristóvão e Névis;Carne de Aves;58390;24000
2024;Nova Caledônia;Carne de Aves;57708;26424
2024;Samoa;Carne de Aves;57313;27504
2024;Serra Leoa;Carne de Aves;56957;110850
2024;Colômbia;Outras Carnes e Miudezas;56881;82030
2024;Tonga;Carne de Aves;56382;27000
2024;Aruba;Carne de Aves;56253;27912
2024;Sudão do Sul;Carne de Aves;56148;28975
2024;Chile;Outras Carnes e Miudezas;53874;23520
2024;Aruba;Carne de Aves;53461;46890
2024;Angola;Outras Carnes e Miudezas;52749;27000
2024;Suriname;Carne de Aves;51746;27810
2024;Seicheles;Carne de Aves;51320;51060
2024;Espanha;Carne de Aves;50799;37960
2024;Sint Maarten;Carne de Aves;50603;20269
2024;Marrocos;Carne de Aves;50493;109323
2024;Iraque;Carne de Aves;50284;34420
2024;México;Carne de Aves;50093;27000
2024;Geórgia;Carne de Aves;49836;114944
2024;Geórgia;Carne Suína;49544;27015
2024;Macedônia;Carne de Aves;49325;25992
2024;Coveite (Kuweit);Carne Bovina;49185;26481
2024;Libéria;Carne Bovina;48915;6132
2024;São Vicente e Granadinas;Carne de Aves;48722;27000
2024;Geórgia;Carne Bovina;48692;15162
2024;Dominica;Carne de Aves;48313;29115
2024;Bahamas;Outras Carnes e Miudezas;47606;69050
2024;Panamá;Carne Bovina;46951;5984
2024;Marshall, Ilhas;Carne Bovina;46811;5897
2024;Hong Kong;Carne de Aves;46387;29679
2024;Maldivas;Carne Suína;46354;16675
2024;Libéria;Carne Suína;45761;66485
2024;Etiópia;Carne de Aves;44995;27500
2024;Maldivas;Carne Bovina;44928;4229
2024;Zâmbia;Carne de Aves;43822;83600
2024;Geórgia;Carne Bovina;43276;12710
2024;Uruguai;Carne de Aves;42586;23012
2024;El Salvador;Carne de Aves;42445;25987
2024;Azerbaijão;Carne de Aves;42295;19174
2024;Guiné-Bissau;Carne de Aves;40357;39380
2024;Marshall, Ilhas;Carne Suína;40275;9674
2024;Camboja;Carne de Aves;39546;8196
2024;Sint Maarten;Carne de Aves;39468;13173
2024;Azerbaijão;Carne de Aves;38845;16450
2024;Angola;Carne de Aves;38832;110634
2024;Aruba;Carne de Aves;38554;19545
2024;Vietnã;Carne de Aves;38502;35930
2024;Bermudas;Carne de Aves;37855;24401
2024;Barein;Carne de Aves;37557;17690
2024;Arábia Saudita;Carne de Aves;37182;32499
2024;República Dominicana;Carne de Aves;36070;26700
2024;Anguilla;Carne Suína;35537;15220
2024;Congo, República Democrática;Carne de Aves;35102;55488
2024;Haiti;Carne de Aves;35096;39168
2024;República Centro-Africana;Carne de Aves;34926;53305
2024;Polinésia Francesa;Carne de Aves;33897;25500
2024;Cabo Verde;Carne de Aves;33757;32862
2024;Serra Leoa;Carne de Aves;33640;27800
2024;Timor Leste;Carne de Aves;33502;27000
2024;Maldivas;Carne de Aves;33482;11004
2024;Gabão;Carne de Aves;32696;30852
2024;Congo;Carne de Aves;32444;14184
2024;Mauritânia;Carne de Aves;31780;25760
2024;São Tomé e Príncipe;Carne de Aves;31696;23530
2024;Gana;Carne de Aves;31330;14808
